Pfam accession: PF00001         Pfam ID: 7tm_1                   Ligand name: CLR        Occurrences: 9          Molecule/domain: 1.89      
Pfam accession: PF00001         Pfam ID: 7tm_1                   Ligand name: Y01        Occurrences: 17         Molecule/domain: 1.76      
Pfam accession: PF00003         Pfam ID: 7tm_3                   Ligand name: CLR        Occurrences: 5          Molecule/domain: 6.6       
Pfam accession: PF13520         Pfam ID: AA_permease_2           Ligand name: CLR        Occurrences: 1          Molecule/domain: 5.0       
Pfam accession: PF13520         Pfam ID: AA_permease_2           Ligand name: Y01        Occurrences: 4          Molecule/domain: 2.0       
Pfam accession: PF01061         Pfam ID: ABC2_membrane           Ligand name: CLR        Occurrences: 7          Molecule/domain: 2.29      
Pfam accession: PF12698         Pfam ID: ABC2_membrane_3         Ligand name: CLR        Occurrences: 2          Molecule/domain: 4.0       
Pfam accession: PF00664         Pfam ID: ABC_membrane            Ligand name: CLR        Occurrences: 16         Molecule/domain: 5.19      
Pfam accession: PF00664         Pfam ID: ABC_membrane            Ligand name: Y01        Occurrences: 7          Molecule/domain: 1.0       
Pfam accession: PF00858         Pfam ID: ASC                     Ligand name: Y01        Occurrences: 3          Molecule/domain: 1.0       
Pfam accession: PF00137         Pfam ID: ATP-synt_C              Ligand name: CLR        Occurrences: 3          Molecule/domain: 1.0       
Pfam accession: PF05827         Pfam ID: ATP-synt_S1             Ligand name: CLR        Occurrences: 1          Molecule/domain: 1.0       
Pfam accession: PF02038         Pfam ID: ATP1G1_PLM_MAT8         Ligand name: CLR        Occurrences: 33         Molecule/domain: 1.0       
Pfam accession: PF05493         Pfam ID: ATP_synt_H              Ligand name: CLR        Occurrences: 1          Molecule/domain: 1.0       
Pfam accession: PF06105         Pfam ID: Aph-1                   Ligand name: CLR        Occurrences: 6          Molecule/domain: 3.0       
Pfam accession: PF01442         Pfam ID: Apolipoprotein          Ligand name: CLR        Occurrences: 2          Molecule/domain: 1.5       
Pfam accession: PF04103         Pfam ID: CD20                    Ligand name: Y01        Occurrences: 6          Molecule/domain: 4.0       
Pfam accession: PF01130         Pfam ID: CD36                    Ligand name: CLR        Occurrences: 2          Molecule/domain: 1.0       
Pfam accession: PF03381         Pfam ID: CDC50                   Ligand name: CLR        Occurrences: 4          Molecule/domain: 1.5       
Pfam accession: PF03381         Pfam ID: CDC50                   Ligand name: Y01        Occurrences: 8          Molecule/domain: 1.0       
Pfam accession: PF00135         Pfam ID: COesterase              Ligand name: CLL        Occurrences: 2          Molecule/domain: 2.0       
Pfam accession: PF08627         Pfam ID: CRT-like                Ligand name: Y01        Occurrences: 1          Molecule/domain: 1.0       
Pfam accession: PF14798         Pfam ID: Ca_hom_mod              Ligand name: Y01        Occurrences: 8          Molecule/domain: 4.25      
