Pfam accession: PF00400         Pfam ID: WD40                    Occurrences: 128       
Pfam accession: PF00520         Pfam ID: Ion_trans               Occurrences: 122       
Pfam accession: PF13246         Pfam ID: Cation_ATPase           Occurrences: 74        
Pfam accession: PF00122         Pfam ID: E1-E2_ATPase            Occurrences: 70        
Pfam accession: PF00690         Pfam ID: Cation_ATPase_N         Occurrences: 62        
Pfam accession: PF00689         Pfam ID: Cation_ATPase_C         Occurrences: 62        
Pfam accession: PF00287         Pfam ID: Na_K-ATPase             Occurrences: 60        
Pfam accession: PF02038         Pfam ID: ATP1G1_PLM_MAT8         Occurrences: 57        
Pfam accession: PF02931         Pfam ID: Neur_chan_LBD           Occurrences: 53        
Pfam accession: PF02932         Pfam ID: Neur_chan_memb          Occurrences: 53        
Pfam accession: PF00005         Pfam ID: ABC_tran                Occurrences: 46        
Pfam accession: PF12796         Pfam ID: Ank_2                   Occurrences: 46        
Pfam accession: PF03311         Pfam ID: Cornichon               Occurrences: 40        
Pfam accession: PF00001         Pfam ID: 7tm_1                   Occurrences: 39        
Pfam accession: PF01094         Pfam ID: ANF_receptor            Occurrences: 38        
Pfam accession: PF08344         Pfam ID: TRP_2                   Occurrences: 36        
Pfam accession: PF00067         Pfam ID: p450                    Occurrences: 35        
Pfam accession: PF00876         Pfam ID: Innexin                 Occurrences: 35        
Pfam accession: PF02460         Pfam ID: Patched                 Occurrences: 34        
Pfam accession: PF00664         Pfam ID: ABC_membrane            Occurrences: 34        
Pfam accession: PF12349         Pfam ID: Sterol-sensing          Occurrences: 32        
Pfam accession: PF00060         Pfam ID: Lig_chan                Occurrences: 32        
Pfam accession: PF10613         Pfam ID: Lig_chan-Glu_bd         Occurrences: 32        
Pfam accession: PF00104         Pfam ID: Hormone_recep           Occurrences: 24        
Pfam accession: PF00105         Pfam ID: zf-C4                   Occurrences: 24        
Pfam accession: PF07885         Pfam ID: Ion_trans_2             Occurrences: 24        
Pfam accession: PF00209         Pfam ID: SNF                     Occurrences: 22        
Pfam accession: PF00503         Pfam ID: G-alpha                 Occurrences: 21        
Pfam accession: PF00137         Pfam ID: ATP-synt_C              Occurrences: 20        
Pfam accession: PF00631         Pfam ID: G-gamma                 Occurrences: 18        
Pfam accession: PF18139         Pfam ID: LSDAT_euk               Occurrences: 16        
Pfam accession: PF02221         Pfam ID: E1_DerP2_DerF2          Occurrences: 15        
Pfam accession: PF16414         Pfam ID: NPC1_N                  Occurrences: 13        
Pfam accession: PF08016         Pfam ID: PKD_channel             Occurrences: 12        
Pfam accession: PF16212         Pfam ID: PhoLip_ATPase_C         Occurrences: 12        
Pfam accession: PF16209         Pfam ID: PhoLip_ATPase_N         Occurrences: 12        
